epoch,acc_top5,accuracy,loss,lr,val_acc_top5,val_accuracy,val_loss
0,0.5145537257194519,0.3602251410484314,3.152825117111206,1e-05,0.7594146728515625,0.5459436178207397,1.9670219421386719
1,0.6902170777320862,0.4702760577201843,2.3327791690826416,1e-05,0.8132128119468689,0.5891973376274109,1.6625559329986572
2,0.7335298657417297,0.5066202282905579,2.105165958404541,1e-05,0.833440899848938,0.6061975359916687,1.5733213424682617
3,0.7592602372169495,0.5209863185882568,1.9847431182861328,1e-05,0.8444157242774963,0.6199698448181152,1.4940094947814941
4,0.7734655737876892,0.5376574397087097,1.8813890218734741,1e-05,0.8540993928909302,0.629868745803833,1.4399060010910034
5,0.7887429594993591,0.5470383167266846,1.8194001913070679,1e-05,0.8577576875686646,0.6330966353416443,1.4145184755325317
6,0.80037522315979,0.5576521158218384,1.7434042692184448,1e-05,0.8603399991989136,0.6393371820449829,1.3866021633148193
7,0.8040739893913269,0.5621548891067505,1.7163448333740234,1e-05,0.8655046224594116,0.6447170376777649,1.3713983297348022
8,0.8171535730361938,0.5705708861351013,1.655572772026062,1e-05,0.8657197952270508,0.6451473832130432,1.3680366277694702
9,0.8222460746765137,0.5829536318778992,1.6171629428863525,1e-05,0.8667957782745361,0.6500968337059021,1.3479270935058594
10,0.8275529146194458,0.587295651435852,1.5771899223327637,1e-05,0.8713148236274719,0.6513879895210266,1.3315978050231934
11,0.8344679474830627,0.592656135559082,1.5482559204101562,1e-05,0.8721755743026733,0.6544007062911987,1.3168208599090576
12,0.8383275270462036,0.597212553024292,1.5281423330307007,1e-05,0.8747578859329224,0.655046284198761,1.2991458177566528
13,0.8441168665885925,0.5975877642631531,1.5081911087036133,1e-05,0.8775554299354553,0.6537551283836365,1.30695641040802
14,0.8452425599098206,0.6067542433738708,1.4849125146865845,1e-05,0.8758338689804077,0.6563374400138855,1.2997851371765137
15,0.8530688881874084,0.6145269274711609,1.4310355186462402,1e-05,0.8779857754707336,0.6608564853668213,1.2883901596069336
16,0.8527472615242004,0.611417829990387,1.4387717247009277,1e-05,0.8827200531959534,0.6617172360420227,1.2774055004119873
17,0.8590190410614014,0.6197802424430847,1.3899967670440674,1e-05,0.8812136650085449,0.6617172360420227,1.2697653770446777
18,0.8619673252105713,0.6203698515892029,1.3881474733352661,1e-05,0.8792769312858582,0.6580589413642883,1.2844620943069458
19,0.8692575693130493,0.6303939819335938,1.3458350896835327,1e-05,0.8818592429161072,0.6668818593025208,1.2786409854888916
20,0.8678102493286133,0.6314125061035156,1.3447412252426147,1e-05,0.8825048208236694,0.6636539697647095,1.2715340852737427
21,0.8724738955497742,0.6338782906532288,1.32553231716156,1e-05,0.8827200531959534,0.6632235646247864,1.267999529838562
22,0.8770838975906372,0.6437952518463135,1.2894529104232788,1e-05,0.8846567869186401,0.6627932190895081,1.2638005018234253
23,0.8739748001098633,0.6422942876815796,1.295528769493103,1e-05,0.8825048208236694,0.670109748840332,1.2634681463241577
24,0.8816403150558472,0.6478155851364136,1.2623158693313599,1e-05,0.8814288973808289,0.6731224656105042,1.2589287757873535
25,0.8835700750350952,0.6508710980415344,1.2482510805130005,1e-05,0.886378288269043,0.670109748840332,1.252151608467102
26,0.8869472146034241,0.6581613421440125,1.2241747379302979,1e-05,0.8805680871009827,0.6724768877029419,1.2577509880065918
27,0.8882873058319092,0.6505494713783264,1.2336914539337158,1e-05,0.8859479427337646,0.6729072332382202,1.2498492002487183
28,0.8866255879402161,0.6576253175735474,1.2197948694229126,1e-05,0.8880998492240906,0.6754895448684692,1.2500743865966797
29,0.89214688539505,0.6640042662620544,1.1892136335372925,1e-05,0.8893910050392151,0.6718313097953796,1.2589056491851807
30,0.8952023386955261,0.6675422191619873,1.1816543340682983,1e-05,0.8835808038711548,0.6692489981651306,1.2585004568099976
31,0.9000803828239441,0.6657732725143433,1.166483998298645,1e-05,0.8870238661766052,0.6698945760726929,1.2502421140670776
32,0.896864116191864,0.6693111658096313,1.1673628091812134,1e-05,0.8840112090110779,0.6651602983474731,1.261942982673645
33,0.900938093662262,0.6764406561851501,1.1473817825317383,1e-05,0.8857327103614807,0.674843966960907,1.2506290674209595
34,0.900509238243103,0.6785312294960022,1.1350479125976562,1e-05,0.8825048208236694,0.6780718564987183,1.2492754459381104
35,0.903296709060669,0.6752613186836243,1.124042272567749,1e-05,0.8846567869186401,0.6750591993331909,1.2471870183944702
36,0.9068882465362549,0.6814795136451721,1.111173152923584,1e-05,0.8868086934089661,0.6731224656105042,1.2535539865493774
37,0.9052801132202148,0.6829804182052612,1.1029917001724243,1e-05,0.8846567869186401,0.6763503551483154,1.2524795532226562
38,0.9103725552558899,0.689145028591156,1.078522801399231,1e-05,0.8870238661766052,0.6759199500083923,1.2537740468978882
39,0.911069393157959,0.692790150642395,1.0741872787475586,1e-05,0.8833656311035156,0.6718313097953796,1.2631936073303223
40,0.9124095439910889,0.6931653618812561,1.063353419303894,1e-05,0.8876694440841675,0.6763503551483154,1.2532501220703125
41,0.9135352373123169,0.6912356019020081,1.0648179054260254,1e-05,0.8876694440841675,0.6750591993331909,1.2590248584747314
42,0.9163227081298828,0.702921450138092,1.0313434600830078,1e-05,0.8883150219917297,0.6767807006835938,1.255515694618225
43,0.9164299368858337,0.703993558883667,1.0339281558990479,1e-05,0.886378288269043,0.6754895448684692,1.2600903511047363
44,0.9189493656158447,0.707477867603302,1.0109585523605347,1e-05,0.8855175375938416,0.6739832162857056,1.2640104293823242
